customer_id,gender,senior_citizen,tenure_months,contract,payment_method,monthly_charges,total_charges,internet_service,online_security,tech_support,churn
CUST-0001,Female,0,45,One year,Bank transfer,20.81,1014.13,Fiber optic,No,Yes,No
CUST-0002,Male,0,6,Month-to-month,Bank transfer,23.93,126.58,Fiber optic,No,No,Yes
CUST-0003,Male,1,70,Month-to-month,Bank transfer,33.24,2128.27,No,Yes,No,No
CUST-0004,Male,0,18,Month-to-month,Credit card,113.85,1750.83,Fiber optic,No,Yes,No
CUST-0005,Male,0,25,One year,Mailed check,92.42,2326.95,DSL,No,Yes,No
CUST-0006,Female,1,11,Two year,Credit card,114.83,1125.93,DSL,No internet,Yes,Yes
CUST-0007,Female,0,16,One year,Bank transfer,59.29,767.07,DSL,Yes,No,No
CUST-0008,Male,0,4,Two year,Bank transfer,74.42,262.72,Fiber optic,No,Yes,No
CUST-0009,Female,0,12,Month-to-month,Electronic check,36.33,377.77,DSL,Yes,Yes,Yes
CUST-0010,Male,1,47,Two year,Electronic check,28.35,1150.35,Fiber optic,No,No,No
CUST-0011,Male,0,46,One year,Credit card,41.63,1651.82,Fiber optic,No,No,No
CUST-0012,Female,0,16,Month-to-month,Mailed check,102.74,1603.49,No,No,No,Yes
CUST-0013,Male,0,36,Month-to-month,Electronic check,31.11,1113.72,Fiber optic,Yes,Yes,No
CUST-0014,Male,0,37,Month-to-month,Bank transfer,23.49,953.37,DSL,Yes,No,Yes
CUST-0015,Female,0,35,One year,Mailed check,106.61,3309.08,Fiber optic,No,No,No
CUST-0016,Male,0,16,One year,Credit card,22.35,332.17,Fiber optic,No,Yes,No
CUST-0017,Female,0,65,One year,Mailed check,98.09,6614.56,DSL,Yes,No internet,No
CUST-0018,Female,0,67,Month-to-month,Mailed check,87.65,5744.95,Fiber optic,Yes,No,No
CUST-0019,Female,0,10,One year,Mailed check,43.33,427.93,DSL,No,No internet,No
CUST-0020,Female,0,27,One year,Mailed check,54.13,1379.02,DSL,Yes,Yes,No
CUST-0021,Female,0,20,Month-to-month,Bank transfer,97.75,1958.62,No,No,No internet,No
CUST-0022,Male,0,28,Month-to-month,Mailed check,22.47,571.8,No,No internet,Yes,No
CUST-0023,Female,0,70,One year,Credit card,49.34,3307.5,Fiber optic,No,No internet,No
CUST-0024,Male,0,67,Month-to-month,Mailed check,95.63,5282.75,Fiber optic,Yes,No,No
CUST-0025,Female,1,14,Month-to-month,Mailed check,32.63,476.93,DSL,No internet,No,No
CUST-0026,Female,0,43,Month-to-month,Credit card,91.21,3557.2,No,No internet,No,Yes
CUST-0027,Female,0,29,Month-to-month,Credit card,74.89,1985.02,DSL,No,Yes,No
CUST-0028,Male,1,39,Two year,Bank transfer,64.41,2410.41,No,No,No,No
CUST-0029,Male,0,66,One year,Electronic check,88.22,5208.66,Fiber optic,No,No,Yes
CUST-0030,Male,0,39,Two year,Electronic check,70.0,2782.07,DSL,No,No,No
CUST-0031,Female,0,43,Month-to-month,Electronic check,32.55,1524.28,Fiber optic,Yes,Yes,Yes
CUST-0032,Female,0,39,Two year,Mailed check,67.42,2156.11,Fiber optic,Yes,No,Yes
CUST-0033,Male,0,42,Month-to-month,Bank transfer,117.7,4762.63,No,No internet,No,Yes
CUST-0034,Male,1,12,Month-to-month,Electronic check,111.13,1075.22,Fiber optic,No,No,Yes
CUST-0035,Male,0,49,One year,Credit card,50.72,2264.11,Fiber optic,No,No internet,No
CUST-0036,Male,0,29,Month-to-month,Mailed check,70.59,1737.13,Fiber optic,No,Yes,No
CUST-0037,Female,0,51,Month-to-month,Bank transfer,81.4,4088.83,Fiber optic,No,Yes,No
CUST-0038,Male,0,41,Month-to-month,Electronic check,46.25,1815.81,DSL,No,Yes,Yes
CUST-0039,Male,0,4,Month-to-month,Credit card,25.86,99.89,DSL,No internet,No,No
CUST-0040,Female,0,43,One year,Bank transfer,110.8,4377.98,Fiber optic,No,Yes,No
CUST-0041,Female,0,48,Month-to-month,Credit card,66.99,3057.15,No,No,No,Yes
CUST-0042,Female,0,71,One year,Credit card,52.31,4071.76,No,No,No,No
CUST-0043,Male,0,30,One year,Mailed check,68.13,2131.59,DSL,No internet,Yes,No
CUST-0044,Female,0,62,Month-to-month,Bank transfer,81.04,4055.93,Fiber optic,No,No internet,Yes
CUST-0045,Female,0,59,Month-to-month,Mailed check,64.12,3252.78,DSL,No internet,No,Yes
CUST-0046,Female,0,57,Month-to-month,Bank transfer,44.74,2702.9,Fiber optic,Yes,No internet,Yes
CUST-0047,Male,0,69,One year,Bank transfer,96.37,6363.74,Fiber optic,Yes,Yes,Yes
CUST-0048,Male,1,29,Month-to-month,Credit card,25.12,669.72,No,Yes,No,No
CUST-0049,Female,0,67,Month-to-month,Electronic check,77.39,5028.57,DSL,Yes,Yes,No
CUST-0050,Female,1,41,Two year,Credit card,72.49,2779.97,Fiber optic,No internet,No internet,No
CUST-0051,Male,0,60,Month-to-month,Electronic check,71.86,3767.28,No,Yes,No,No
CUST-0052,Male,0,28,Month-to-month,Electronic check,20.42,572.41,Fiber optic,Yes,No,No
CUST-0053,Female,0,46,Two year,Mailed check,24.14,1210.76,Fiber optic,Yes,Yes,No
CUST-0054,Male,0,66,One year,Electronic check,31.24,1854.82,Fiber optic,No internet,No,No
CUST-0055,Male,0,26,Two year,Mailed check,103.06,2324.24,DSL,No,No,No
CUST-0056,Female,1,55,Month-to-month,Electronic check,93.16,4671.04,No,No internet,No,No
CUST-0057,Female,0,40,One year,Bank transfer,60.27,2304.44,Fiber optic,Yes,Yes,No
CUST-0058,Female,0,26,Two year,Bank transfer,119.15,2671.92,Fiber optic,No,No,No
CUST-0059,Male,0,21,Month-to-month,Bank transfer,75.35,1536.6,Fiber optic,No,No,Yes
CUST-0060,Female,0,6,Month-to-month,Electronic check,94.47,523.58,Fiber optic,No,No internet,Yes
CUST-0061,Male,0,17,One year,Mailed check,38.28,582.89,DSL,No,Yes,No
CUST-0062,Male,0,3,Month-to-month,Credit card,67.16,166.71,Fiber optic,No internet,Yes,No
CUST-0063,Male,0,45,Month-to-month,Bank transfer,32.17,1413.53,Fiber optic,Yes,Yes,Yes
CUST-0064,Female,0,42,Month-to-month,Electronic check,46.88,1692.5,Fiber optic,No,No,Yes
CUST-0065,Female,0,48,Month-to-month,Credit card,92.31,4571.79,Fiber optic,No,No,No
CUST-0066,Male,0,40,One year,Electronic check,99.87,4313.69,Fiber optic,No,No,Yes
CUST-0067,Male,1,2,Two year,Credit card,21.89,44.69,DSL,Yes,Yes,Yes
CUST-0068,Female,0,11,Month-to-month,Credit card,33.81,393.38,Fiber optic,No,No,No
CUST-0069,Male,0,56,Two year,Bank transfer,82.04,4783.19,No,Yes,Yes,Yes
CUST-0070,Male,0,20,Month-to-month,Bank transfer,33.07,662.4,Fiber optic,No,No,No
CUST-0071,Female,0,64,One year,Credit card,59.83,3071.12,No,No,No,No
CUST-0072,Male,0,35,Two year,Credit card,38.28,1456.21,Fiber optic,Yes,Yes,No
CUST-0073,Female,0,42,One year,Credit card,112.62,5020.44,DSL,No internet,No,No
CUST-0074,Female,0,55,One year,Bank transfer,84.57,4433.53,No,Yes,No internet,Yes
CUST-0075,Female,0,21,One year,Bank transfer,43.56,990.75,No,No internet,No,No
CUST-0076,Male,0,56,One year,Bank transfer,82.5,4580.75,DSL,Yes,Yes,No
CUST-0077,Male,0,42,One year,Credit card,38.92,1660.98,No,No internet,No,No
CUST-0078,Male,1,62,Month-to-month,Credit card,66.88,4195.04,DSL,No,No,No
CUST-0079,Female,1,70,Month-to-month,Electronic check,106.25,6470.04,DSL,No internet,No,No
CUST-0080,Female,0,13,Two year,Bank transfer,56.91,671.14,No,No,No,No
CUST-0081,Male,0,38,Month-to-month,Electronic check,59.68,2136.76,Fiber optic,No,No internet,No
CUST-0082,Male,0,16,Two year,Electronic check,87.35,1175.67,Fiber optic,No,No,No
CUST-0083,Male,0,69,Month-to-month,Electronic check,20.16,1269.91,DSL,No,No,No
CUST-0084,Male,1,22,Two year,Electronic check,95.28,2137.79,Fiber optic,No,Yes,No
CUST-0085,Female,1,27,Month-to-month,Mailed check,82.13,2252.14,DSL,Yes,Yes,Yes
CUST-0086,Male,0,56,One year,Mailed check,28.12,1473.4,No,No,No,No
CUST-0087,Female,0,30,One year,Mailed check,66.07,2173.67,DSL,No,No internet,No
CUST-0088,Male,0,52,Two year,Bank transfer,46.71,2332.73,DSL,Yes,No internet,No
CUST-0089,Male,0,27,Month-to-month,Mailed check,50.78,1196.04,Fiber optic,Yes,No,Yes
CUST-0090,Female,0,30,Month-to-month,Bank transfer,117.75,3682.14,DSL,No,No internet,No
CUST-0091,Female,0,38,Month-to-month,Electronic check,36.43,1432.72,DSL,No internet,Yes,Yes
CUST-0092,Male,1,52,Two year,Credit card,31.87,1411.24,Fiber optic,No,Yes,No
CUST-0093,Male,0,65,Two year,Bank transfer,70.25,3672.7,Fiber optic,No internet,No internet,No
CUST-0094,Male,0,16,Month-to-month,Mailed check,89.12,1212.42,Fiber optic,No,Yes,Yes
CUST-0095,Female,0,58,Month-to-month,Bank transfer,57.74,3094.59,No,No,Yes,Yes
CUST-0096,Male,0,55,Month-to-month,Mailed check,114.78,5317.73,Fiber optic,No,No,No
CUST-0097,Male,0,67,Month-to-month,Bank transfer,34.6,2506.95,No,Yes,No,No
CUST-0098,Female,0,14,One year,Mailed check,112.63,1554.35,DSL,No,No internet,No
CUST-0099,Female,0,42,One year,Electronic check,113.3,4644.17,DSL,No,No,No
CUST-0100,Female,0,36,One year,Electronic check,61.31,1897.72,No,No,No,No
CUST-0101,Female,1,38,Month-to-month,Mailed check,74.55,2442.29,Fiber optic,Yes,No internet,No
CUST-0102,Male,0,68,Two year,Mailed check,36.17,2680.3,No,No,No,No
CUST-0103,Female,0,18,One year,Bank transfer,50.15,884.48,DSL,No,No,No
