date,product,category,region,quantity,unit_price,revenue
2023-01-01,Dumbbells,Sports,Southwest,15,111.14,1667.1
2023-01-01,Green Tea,Food & Beverage,Midwest,19,19.5,370.5
2023-01-02,Granola,Food & Beverage,Southwest,40,107.67,4306.8
2023-01-03,Polo Shirt,Clothing,West,30,35.79,1073.7
2023-01-03,Protein Bars,Food & Beverage,Southwest,12,93.69,1124.28
2023-01-04,Yoga Mat,Sports,Southeast,49,81.09,3973.41
2023-01-05,Jump Rope,Sports,Midwest,16,38.75,620.0
2023-01-06,Jump Rope,Sports,Southwest,3,129.69,389.07
2023-01-06,Smart Watch,Electronics,Southeast,4,141.62,566.48
2023-01-07,Running Shoes,Clothing,West,26,19.16,498.16
2023-01-08,Jump Rope,Sports,Midwest,7,93.45,654.15
2023-01-09,Face Serum,Beauty,West,36,31.42,1131.12
2023-01-09,Winter Jacket,Clothing,Southeast,4,31.8,127.2
2023-01-10,Polo Shirt,Clothing,West,34,62.3,2118.2
2023-01-11,Hair Oil,Beauty,Southwest,40,127.46,5098.4
2023-01-11,Sneakers,Clothing,West,24,56.73,1361.52
2023-01-12,Jump Rope,Sports,Southwest,45,25.43,1144.35
2023-01-13,Wireless Earbuds,Electronics,Northeast,7,66.39,464.73
2023-01-14,Water Bottle,Sports,Midwest,17,108.14,1838.38
2023-01-14,Tablet,Electronics,Southeast,5,139.31,696.55
2023-01-15,Bluetooth Speaker,Electronics,West,7,128.26,897.82
2023-01-16,Running Shoes,Clothing,Southwest,48,58.77,2820.96
2023-01-17,Wall Art,Home & Garden,Midwest,40,44.83,1793.2
2023-01-17,Tablet,Electronics,Midwest,37,145.9,5398.3
2023-01-18,USB-C Hub,Electronics,Midwest,26,39.22,1019.72
2023-01-19,Smart Watch,Electronics,Midwest,42,68.7,2885.4
2023-01-19,Bluetooth Speaker,Electronics,Southwest,32,105.85,3387.2
2023-01-20,Coffee Beans,Food & Beverage,Midwest,29,38.18,1107.22
2023-01-21,Wall Art,Home & Garden,Northeast,2,95.53,191.06
